GenID;OnBus;Pmax;Pmin;Type;Costs;CO2Coeff;Zone
28;3;1600;834;Lignite;35.46;1.08;1
13;5;1600;683;Hard Coal;48.53;0.82;1
43;11;874;0;Wind;0;0;1
4;12;600;297;Gas/CCGT;80.25;0.49;1
46;15;690;0;Wind;0;0;1
61;16;1080;0;PV;0;0;1
7;19;800;389;Gas/CCGT;76.86;0.47;1
10;22;400;177;Gas/CCGT;129.22;0.79;1
35;24;943;0;Wind;0;0;3
9;25;1600;870;Lignite;37.28;1.14;1
11;27;600;282;Gas/CCGT;65.64;0.4;1
45;28;460;0;Wind;0;0;1
12;17;1300;551;Hard Coal;48.19;0.82;1
26;31;800;393;Gas/CCGT;78.52;0.48;1
14;34;800;378;Gas/CCGT;66.57;0.41;1
6;35;1600;843;Lignite;36.05;1.1;1
15;37;800;395;Gas/CCGT;79.66;0.49;1
5;37;1500;623;Hard Coal;47.42;0.8;1
67;39;460;0;PV;0;0;2
51;40;600;0;PV;0;0;2
66;40;480;0;PV;0;0;2
65;41;520;0;PV;0;0;2
17;42;1000;488;Gas/CCGT;77.41;0.47;2
72;42;1100;0;PV;0;0;2
69;44;322;0;PV;0;0;2
70;45;320;0;PV;0;0;2
54;46;1100;0;PV;0;0;2
24;47;1600;861;Lignite;37.06;1.13;2
58;49;1060;0;PV;0;0;2
16;50;1300;713;Lignite;37.43;1.14;2
71;52;380;0;Wind;0;0;2
42;53;1288;0;Wind;0;0;2
55;54;1200;0;PV;0;0;2
52;55;1200;0;PV;0;0;2
53;56;900;0;PV;0;0;2
64;58;600;0;PV;0;0;2
68;60;440;0;PV;0;0;2
59;61;1200;0;PV;0;0;2
60;62;960;0;PV;0;0;2
1;59;2000;1000;Nuclear;8.85;0;2
57;65;1460;0;PV;0;0;2
56;65;1200;0;PV;0;0;2
44;67;1012;0;Wind;0;0;2
21;68;1600;674;Hard Coal;47.85;0.81;3
29;68;800;392;Gas/CCGT;77.96;0.48;3
18;70;400;170;Gas/CCGT;123.39;0.75;3
62;71;1340;0;PV;0;0;3
8;72;1400;566;Hard Coal;46.72;0.79;3
34;73;1596.2;0;Wind;0;0;3
47;75;552;0;Wind;0;0;3
20;76;400;174;Gas/CCGT;126.23;0.77;3
19;78;700;345;Gas/CCGT;79.09;0.48;3
27;80;1500;619;Hard Coal;47.24;0.8;3
23;83;1500;634;Hard Coal;48.02;0.81;3
22;85;800;382;Gas/CCGT;70.58;0.43;3
37;87;1094.8;0;Wind;0;0;3
39;89;1605.4;0;Wind;0;0;3
2;91;1800;900;Nuclear;8.93;0;3
25;91;400;169;Gas/CCGT;122.47;0.75;3
63;94;800;0;PV;0;0;3
40;96;920;0;Wind;0;0;3
50;98;920;0;Wind;0;0;3
38;103;1048.8;0;Wind;0;0;3
41;104;920;0;Wind;0;0;3
32;104;1803.2;0;Wind;0;0;3
49;106;1012;0;Wind;0;0;3
48;107;690;0;Wind;0;0;3
36;110;1048.8;0;Wind;0;0;3
31;111;634.8;0;Wind Offshore;0;0;3
30;112;680.8;0;Wind Offshore;0;0;3
3;114;400;168;Gas/CCGT;121.56;0.74;1
33;76;1738.8;0;Wind;0;0;3
73;10;2600;0;PV;0;0;Import/Export_1
74;10;4400;0;Wind;0;0;Import/Export_1
75;10;700;283;Hard Coal;47.8;0.81;Import/Export_1
76;10;10800;5292;Gas/CCGT;90;0.58;Import/Export_1
77;119;500;0;PV;0;0;Import/Export_2
78;119;1500;0;Wind;0;0;Import/Export_2
79;119;100;0;Wind Offshore;0;0;Import/Export_2
80;119;300;150;Nuclear;8.9;0;Import/Export_2
81;119;3800;1568;Hard Coal;47.8;0.81;Import/Export_2
82;119;10500;5124;Gas/CCGT;90;0.58;Import/Export_2
83;120;2100;0;Wind;0;0;Import/Export_3
84;120;4600;2424;Lignite;36;1.1;Import/Export_3
85;120;10700;4507;Hard Coal;47.8;0.81;Import/Export_3
86;120;500;218;Gas/CCGT;90;0.58;Import/Export_3
